model_name,run_number,screen_id,agent,energy_kwh,emissions_kg_co2,total_emissions_kg_co2,duration_seconds,ram_power_w,cpu_power_w,gpu_power_w,ram_energy_kwh,cpu_energy_kwh,gpu_energy_kwh,region,country_name,country_iso_code
phi35,1,10594-screenshot,Agent1_Perception,0.001854,0.00116379,0.00116379,39.23,38.0,12.8519,115.2982,0.000414,0.00014,0.0013,alberta,Canada,CAN
phi35,1,10594-screenshot,Agent2_Generation,0.003465,0.0021749,0.0021749,72.56,38.0,12.9424,119.5076,0.000755,0.000257,0.002452,alberta,Canada,CAN
phi35,1,10594-screenshot,Agent3_Metamorphic,0.003387,0.0021257,0.0021257,68.77,38.0,12.8385,124.4754,0.000715,0.000242,0.00243,alberta,Canada,CAN
phi35,1,10594-screenshot,Agent4_Optimization,0.001295,0.00081271,0.00081271,26.94,38.0,12.8403,115.249,0.00029,9.8e-05,0.000907,alberta,Canada,CAN
phi35,1,124,Agent1_Perception,0.001682,0.00105601,0.00105601,33.66,38.0,12.8307,119.4468,0.000355,0.00012,0.001207,alberta,Canada,CAN
phi35,1,124,Agent2_Generation,0.003545,0.00222503,0.00222503,72.12,38.0,12.8504,124.447,0.000751,0.000254,0.00254,alberta,Canada,CAN
phi35,1,124,Agent3_Metamorphic,0.00254,0.0015942,0.0015942,49.28,38.0,13.543,129.4001,0.000515,0.000184,0.001841,alberta,Canada,CAN
phi35,1,124,Agent4_Optimization,0.00167,0.00104839,0.00104839,30.26,38.0,8.893,93.9781,0.000478,0.000113,0.001079,alberta,Canada,CAN
phi35,1,295,Agent1_Perception,0.002048,0.00128566,0.00128566,41.26,38.0,12.9486,123.8984,0.000435,0.000148,0.001464,alberta,Canada,CAN
phi35,1,295,Agent2_Generation,0.003015,0.00189244,0.00189244,61.45,38.0,12.9314,120.4659,0.000638,0.000217,0.00216,alberta,Canada,CAN
phi35,1,295,Agent3_Metamorphic,0.002911,0.00182711,0.00182711,55.95,38.0,12.9583,133.519,0.000585,0.0002,0.002126,alberta,Canada,CAN
phi35,1,295,Agent4_Optimization,0.001309,0.00082185,0.00082185,27.39,38.0,12.8914,114.4386,0.000294,0.0001,0.000915,alberta,Canada,CAN
phi35,2,10594-screenshot,Agent1_Perception,0.002039,0.00127987,0.00127987,41.64,38.0,12.8539,121.4278,0.00044,0.000149,0.001451,alberta,Canada,CAN
phi35,2,10594-screenshot,Agent2_Generation,0.003576,0.00224449,0.00224449,72.66,38.0,12.8472,124.5832,0.000756,0.000256,0.002564,alberta,Canada,CAN
phi35,2,10594-screenshot,Agent3_Metamorphic,0.00305,0.00191454,0.00191454,58.58,38.0,12.886,133.6013,0.000613,0.000208,0.002229,alberta,Canada,CAN
phi35,2,10594-screenshot,Agent4_Optimization,0.001261,0.00079142,0.00079142,25.72,38.0,12.848,118.7316,0.000277,9.4e-05,0.00089,alberta,Canada,CAN
phi35,2,124,Agent1_Perception,0.001727,0.00108378,0.00108378,34.55,38.0,12.8526,123.6431,0.000365,0.000123,0.001239,alberta,Canada,CAN
phi35,2,124,Agent2_Generation,0.003447,0.00216342,0.00216342,69.78,38.0,12.8555,125.3187,0.000726,0.000246,0.002475,alberta,Canada,CAN
phi35,2,124,Agent3_Metamorphic,0.002554,0.0016028,0.0016028,50.16,38.0,12.845,129.182,0.000524,0.000177,0.001852,alberta,Canada,CAN
phi35,2,124,Agent4_Optimization,0.001639,0.00102846,0.00102846,33.68,38.0,12.8378,118.3909,0.000356,0.00012,0.001163,alberta,Canada,CAN
phi35,2,295,Agent1_Perception,0.001853,0.00116293,0.00116293,36.05,38.0,12.8471,129.9837,0.000381,0.000129,0.001343,alberta,Canada,CAN
phi35,2,295,Agent2_Generation,0.002977,0.00186873,0.00186873,60.0,38.0,12.8429,125.3147,0.000628,0.000212,0.002137,alberta,Canada,CAN
phi35,2,295,Agent3_Metamorphic,0.002959,0.0018575,0.0018575,57.12,38.0,12.8535,132.967,0.000598,0.000202,0.00216,alberta,Canada,CAN
phi35,2,295,Agent4_Optimization,0.00123,0.00077193,0.00077193,25.26,38.0,13.1647,116.5454,0.000272,9.4e-05,0.000864,alberta,Canada,CAN
phi35,3,10594-screenshot,Agent1_Perception,0.001979,0.00124195,0.00124195,40.15,38.0,12.8526,122.1074,0.000424,0.000143,0.001411,alberta,Canada,CAN
