model_name,run_number,screen_id,agent,energy_kwh,emissions_kg_co2,total_emissions_kg_co2,duration_seconds,ram_power_w,cpu_power_w,gpu_power_w,ram_energy_kwh,cpu_energy_kwh,gpu_energy_kwh,region,country_name,country_iso_code
qwen,1,10594-screenshot,Agent1_Perception,0.001439,0.00090322,0.00090322,26.78,38.0,12.8739,136.1499,0.000288,9.8e-05,0.001053,alberta,Canada,CAN
qwen,1,10594-screenshot,Agent2_Generation,0.002833,0.00177815,0.00177815,43.91,38.0,12.8679,175.8873,0.000464,0.000157,0.002212,alberta,Canada,CAN
qwen,1,10594-screenshot,Agent3_Metamorphic,0.001809,0.00113574,0.00113574,25.7,38.0,12.8383,193.199,0.000277,9.3e-05,0.001439,alberta,Canada,CAN
qwen,1,10594-screenshot,Agent4_Optimization,0.001498,0.00094003,0.00094003,23.23,38.0,12.8392,173.3592,0.000251,8.5e-05,0.001162,alberta,Canada,CAN
qwen,1,124,Agent1_Perception,0.001973,0.00123841,0.00123841,29.44,38.0,12.8496,180.731,0.000316,0.000107,0.00155,alberta,Canada,CAN
qwen,1,124,Agent2_Generation,0.007009,0.00439956,0.00439956,97.83,38.0,12.879,205.3894,0.001011,0.000343,0.005655,alberta,Canada,CAN
qwen,1,124,Agent3_Metamorphic,0.005082,0.00318961,0.00318961,63.3,38.0,12.8499,235.4405,0.000658,0.000222,0.004202,alberta,Canada,CAN
qwen,1,124,Agent4_Optimization,0.002749,0.00172535,0.00172535,41.56,38.0,12.8625,180.9588,0.000439,0.000149,0.002161,alberta,Canada,CAN
qwen,1,295,Agent1_Perception,0.001743,0.00109426,0.00109426,26.07,38.0,12.8686,179.218,0.000281,9.5e-05,0.001368,alberta,Canada,CAN
qwen,1,295,Agent2_Generation,0.003904,0.00245051,0.00245051,56.08,38.0,12.9394,197.007,0.000587,0.0002,0.003118,alberta,Canada,CAN
qwen,1,295,Agent3_Metamorphic,0.002802,0.00175863,0.00175863,38.76,38.0,12.8842,202.143,0.000409,0.000139,0.002254,alberta,Canada,CAN
qwen,1,295,Agent4_Optimization,0.001802,0.00113109,0.00113109,27.3,38.0,12.8486,174.9648,0.000294,9.9e-05,0.001409,alberta,Canada,CAN
qwen,2,10594-screenshot,Agent1_Perception,0.001443,0.00090587,0.00090587,23.56,38.0,12.9986,155.8579,0.000254,8.7e-05,0.001102,alberta,Canada,CAN
qwen,2,10594-screenshot,Agent2_Generation,0.002947,0.00184947,0.00184947,42.94,38.0,12.8826,190.8644,0.000453,0.000154,0.00234,alberta,Canada,CAN
qwen,2,10594-screenshot,Agent3_Metamorphic,0.001904,0.00119524,0.00119524,26.58,38.0,12.8464,197.6184,0.000286,9.7e-05,0.001522,alberta,Canada,CAN
qwen,2,10594-screenshot,Agent4_Optimization,0.001536,0.00096386,0.00096386,23.18,38.0,12.8934,181.1074,0.00025,8.5e-05,0.001201,alberta,Canada,CAN
qwen,2,124,Agent1_Perception,0.002129,0.0013364,0.0013364,32.79,38.0,12.8421,169.0361,0.000346,0.000117,0.001666,alberta,Canada,CAN
qwen,2,124,Agent2_Generation,0.007132,0.00447644,0.00447644,99.33,38.0,12.8607,206.4969,0.001027,0.000348,0.005757,alberta,Canada,CAN
qwen,2,124,Agent3_Metamorphic,0.005072,0.00318337,0.00318337,62.11,38.0,12.8902,240.6178,0.000645,0.000219,0.004208,alberta,Canada,CAN
qwen,2,124,Agent4_Optimization,0.002783,0.00174678,0.00174678,41.89,38.0,13.0059,182.8344,0.000442,0.000151,0.00219,alberta,Canada,CAN
qwen,2,295,Agent1_Perception,0.001596,0.00100149,0.00100149,22.1,38.0,13.2808,196.3961,0.000239,8.3e-05,0.001274,alberta,Canada,CAN
qwen,2,295,Agent2_Generation,0.003949,0.00247893,0.00247893,56.64,38.0,12.939,194.2579,0.000593,0.000202,0.003155,alberta,Canada,CAN
